15.165.17.52 - - [28/Oct/2025:07:20:21 +0000] "HEAD / HTTP/2.0" 400 0 "-" "curl/7.81.0" "-"
147.135.220.53 - - [28/Oct/2025:07:20:45 +0000] "GET /.git/config HTTP/1.1" 400 290 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17 Safari/605.1.15" "-"
96.41.38.202 - - [28/Oct/2025:07:20:49 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0" "-"
82.146.44.21 - - [28/Oct/2025:07:21:02 +0000] "GET / HTTP/1.1" 403 254 "-" "OPR/72.0.3815.465 (Edition Yx GX)" "-"
141.148.153.213 - - [28/Oct/2025:07:21:12 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1" "-"
141.148.153.213 - - [28/Oct/2025:07:21:26 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1" "-"
62.113.113.43 - - [28/Oct/2025:07:21:32 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0(WindowsNT6.1;Trident/7.0;SLCC2;.NETCLR2.0.50727;.NETCLR3.5.30729;.NETCLR3.0.30729;MediaCenterPC6.0;.NET4.0C;AskTbORJ/5.15.23.36191;InfoPath.1;MediaCenterPC5.0;SLCC1;InfoPath.3;TabletPC2.0;rv:11.0)likeGecko" "-"
62.113.113.43 - - [28/Oct/2025:07:21:38 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0(WindowsNT6.1;Trident/7.0;SLCC2;.NETCLR2.0.50727;.NETCLR3.5.30729;.NETCLR3.0.30729;MediaCenterPC6.0;.NET4.0C;AskTbORJ/5.15.23.36191;InfoPath.1;MediaCenterPC5.0;SLCC1;InfoPath.3;TabletPC2.0;rv:11.0)likeGecko" "-"
82.146.44.21 - - [28/Oct/2025:07:22:59 +0000] "GET / HTTP/1.1" 403 254 "-" "OPR/72.0.3815.465 (Edition Yx GX)" "-"
211.192.210.198 - - [28/Oct/2025:07:23:00 +0000] "GET /audio-files?location= HTTP/1.1" 200 128 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.210.198 - - [28/Oct/2025:07:23:00 +0000] "HEAD /audio-files HTTP/1.1" 200 0 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.210.198 - - [28/Oct/2025:07:23:00 +0000] "GET /video-files?location= HTTP/1.1" 200 128 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.210.198 - - [28/Oct/2025:07:23:00 +0000] "HEAD /video-files HTTP/1.1" 200 0 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.252.50 - - [28/Oct/2025:07:24:19 +0000] "GET /audio-files?location= HTTP/1.1" 200 128 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.252.50 - - [28/Oct/2025:07:24:19 +0000] "HEAD /audio-files HTTP/1.1" 200 0 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.252.50 - - [28/Oct/2025:07:24:19 +0000] "GET /video-files?location= HTTP/1.1" 200 128 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
211.192.252.50 - - [28/Oct/2025:07:24:19 +0000] "HEAD /video-files HTTP/1.1" 200 0 "-" "MinIO (Windows 11; amd64) minio-java/8.5.7" "-"
54.224.183.42 - - [28/Oct/2025:07:25:27 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36 Edg/103.0.1264.44" "-"
172.58.50.31 - - [28/Oct/2025:07:25:51 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36 Edg/103.0.1264.44" "-"
141.148.153.213 - - [28/Oct/2025:07:26:14 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1" "-"
92.114.110.218 - - [28/Oct/2025:07:26:18 +0000] "GET / HTTP/2.0" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1" "-"
92.114.110.218 - - [28/Oct/2025:07:26:19 +0000] "GET / HTTP/2.0" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1" "-"
141.148.153.213 - - [28/Oct/2025:07:26:24 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1" "-"
172.58.50.115 - - [28/Oct/2025:07:27:09 +0000] "GET / HTTP/2.0" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148" "-"
45.148.106.119 - - [28/Oct/2025:07:27:17 +0000] "GET / HTTP/2.0" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/116.0.5845.177 Mobile/15E148 Safari/604.1" "-"
141.148.153.213 - - [28/Oct/2025:07:29:07 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1" "-"
141.148.153.213 - - [28/Oct/2025:07:29:31 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1" "-"
135.148.100.196 - - [28/Oct/2025:07:38:04 +0000] "GET / HTTP/1.1" 403 254 "-" "-" "-"
91.196.152.70 - - [28/Oct/2025:07:40:14 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0" "-"
69.171.231.113 - - [28/Oct/2025:07:43:12 +0000] "GET / HTTP/2.0" 403 254 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "-"
173.252.95.113 - - [28/Oct/2025:07:43:15 +0000] "GET /?fbclid=IwZXh0bgNhZW0CMTEAAR5y5bi19NJmPcNmwu0DRZElGF5W8dl9bOknJx1li7IEQCnjc88a3buIPbW3Rw_aem_9cgdDc36nuElGGiahVY9Lg HTTP/2.0" 307 70 "https://www.facebook.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
154.28.229.92 - - [28/Oct/2025:07:45:32 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
154.28.229.179 - - [28/Oct/2025:07:45:32 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
154.28.229.159 - - [28/Oct/2025:07:46:02 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
91.196.152.158 - - [28/Oct/2025:07:47:35 +0000] "GET /favicon.ico HTTP/1.1" 403 301 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0" "-"
91.196.152.225 - - [28/Oct/2025:07:53:17 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0" "-"
91.196.152.60 - - [28/Oct/2025:08:00:20 +0000] "GET /favicon.ico HTTP/1.1" 403 301 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0" "-"
64.15.129.121 - - [28/Oct/2025:08:10:33 +0000] "GET / HTTP/2.0" 307 70 "http://minio-api.ssairen.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
64.15.129.124 - - [28/Oct/2025:08:10:39 +0000] "GET / HTTP/2.0" 307 70 "http://minio-api.ssairen.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
64.15.129.108 - - [28/Oct/2025:08:10:47 +0000] "GET / HTTP/2.0" 307 70 "http://minio-api.ssairen.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
64.15.129.117 - - [28/Oct/2025:08:10:53 +0000] "GET / HTTP/2.0" 307 70 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
64.15.129.101 - - [28/Oct/2025:08:11:00 +0000] "GET / HTTP/2.0" 307 70 "http://minio-api.ssairen.site/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
104.252.191.141 - - [28/Oct/2025:08:17:09 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
104.164.126.37 - - [28/Oct/2025:08:17:10 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
104.252.191.98 - - [28/Oct/2025:08:17:34 +0000] "GET / HTTP/1.1" 307 70 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
